Al28 	26058.3	0.161088  1  4886.97  252
Na22 	20482.1	0.448991  1  4878.99  235
Na24 	22341.8	0.201651  1  4879.84  230
Ne20 	18617.7	0.748137  1  4877.3  244
proton 	938.272	4.23691  1  4890.71  230
Mg25 	23268.0	0.0825449  1  4890.71  234
Na26 	24206.4	0.18151  1  4882.35  224
proton 	938.272	5.68135  1  4884.22  241
Mg26 	24196.5	0.812705  1  4884.22  244
Mn55 	51161.7	0.0625672  1  4888.92  277
Mn53 	49301.8	0.308888  1  4883.76  229
Mg25 	23268.0	0.206463  1  4883.29  190
Na24 	22341.8	0.208409  1  4880.3  243
Na24 	22341.8	0.209677  1  4881.22  220
proton 	938.272	1.95937  1  4884.7  251
Ne20 	18617.7	0.894755  1  4884.7  254
Na23 	21409.2	0.199398  1  4881.11  269
Na24 	22341.8	0.205831  1  4875.52  227
Al27 	25126.5	0.172011  1  4886.34  237
Al28 	26058.3	0.177849  1  4881.67  234
proton 	938.272	13.7703  1  4881.64  224
Mg26 	24196.5	0.657552  1  4881.64  228
proton 	938.272	2.96591  1  4879.39  241
Mg24 	22335.8	0.889494  1  4879.39  245
N14 	13040.2	0.427573  1  4880.8  231
Na23 	21409.2	0.1324  1  4883.43  244
Al28 	26058.3	0.170695  1  4877.52  199
C13 	12109.5	1.81335  1  4882.23  227
proton 	938.272	1.22126  1  4879.72  262
C14 	13040.9	2.26859  1  4879.72  263
proton 	938.272	3.71742  1  4882.81  228
C14 	13040.9	1.82016  1  4882.81  231
Al28 	26058.3	0.181942  1  4883  222
Al28 	26058.3	0.165779  1  4884.84  212
proton 	938.272	15.3856  1  4880.03  226
Ne21 	19550.5	0.970295  1  4880.03  232
N15 	13968.9	0.335445  1  4884.61  240
proton 	938.272	4.15666  1  4887.75  245
Ne22 	20479.7	0.342512  1  4887.75  249
proton 	938.272	2.19558  1  4888.04  228
Ne20 	18617.7	0.463566  1  4888.04  230
Al29 	26988.5	0.184017  1  4881.15  227
Na24 	22341.8	0.171037  1  4885.61  216
N15 	13968.9	0.0519844  1  4887.76  237
Na24 	22341.8	0.191959  1  4879.78  238
proton 	938.272	5.25089  1  4880.46  232
alpha 	3727.38	8.73052  1  4880.46  235
O16 	14895.1	2.7893  1  4880.46  236
proton 	938.272	9.87388  1  4882.39  262
Mg25 	23268.0	0.921162  1  4882.39  268
proton 	938.272	5.99501  1  4880.05  232
C14 	13040.9	0.896988  1  4880.05  236
proton 	938.272	22.7461  1  4878.51  237
Mg25 	23268.0	0.620191  1  4878.51  243
proton 	938.272	3.33531  1  4888.4  252
C14 	13040.9	0.133399  1  4888.4  255
proton 	938.272	2.9228  1  4880.42  246
Mg26 	24196.5	0.409957  1  4880.42  250
proton 	938.272	24.4748  1  4883.32  213
Ne22 	20479.7	0.687053  1  4883.32  220
proton 	938.272	23.1242  1  4882.02  242
C12 	11174.9	2.22173  1  4882.02  248
proton 	938.272	12.2035  1  4882.34  258
alpha 	3727.38	2.70096  1  4882.34  263
alpha 	3727.38	4.24521  1  4882.34  264
alpha 	3727.38	1.99948  1  4882.34  265
N14 	13040.2	0.275825  1  4878.63  227
Na23 	21409.2	0.319625  1  4886.05  226
proton 	938.272	8.07402  1  4881.24  230
Mg25 	23268.0	0.59361  1  4881.24  236
Na23 	21409.2	0.429813  1  4885.21  229
Na25 	23272.4	0.202237  1  4884.4  221
Al28 	26058.3	0.167403  1  4880.5  219
Na24 	22341.8	0.21508  1  4881.83  229
Na26 	24206.4	0.175753  1  4884  223
Al28 	26058.3	0.164536  1  4876.28  247
proton 	938.272	3.72137  1  4883.29  223
alpha 	3727.38	6.08002  1  4883.29  227
Ne20 	18617.7	0.203582  1  4883.29  228
proton 	938.272	1.91106  1  4884.37  236
C14 	13040.9	0.0738117  1  4884.37  240
proton 	938.272	7.31954  1  4874.45  225
Ne20 	18617.7	0.858803  1  4874.45  231
proton 	938.272	3.42426  1  4878.95  230
Mg24 	22335.8	0.931784  1  4878.95  236
N14 	13040.2	0.927234  1  4885.82  262
Al27 	25126.5	0.247741  1  4880.52  249
Al28 	26058.3	0.191105  1  4878.71  236
C12 	11174.9	1.96335  1  4882.55  255
Al28 	26058.3	0.184386  1  4883.42  228
Na24 	22341.8	0.211896  1  4885.73  236
Al28 	26058.3	0.17161  1  4883.79  217
Al28 	26058.3	0.188442  1  4883.32  219
N16 	14906.0	0.291055  1  4884.19  219
proton 	938.272	24.1981  1  4885.24  250
C14 	13040.9	2.53862  1  4885.24  254
Na24 	22341.8	0.200138  1  4880.33  238
proton 	938.272	4.08236  1  4881.86  237
Ne21 	19550.5	0.145206  1  4881.86  243
alpha 	3727.38	5.40552  1  4877.73  229
Ne21 	19550.5	1.56311  1  4877.73  230
Na21 	19553.6	0.229232  1  4881.69  245
proton 	938.272	2.98031  1  4879.47  233
Mg25 	23268.0	0.307987  1  4879.47  237
Na23 	21409.2	0.235143  1  4882.66  233
proton 	938.272	23.2514  1  4878.95  228
proton 	938.272	3.62824  1  4878.95  230
F21 	19556.7	1.72648  1  4878.95  234
Na26 	24206.4	0.174574  1  4876.3  235
proton 	938.272	2.57631  1  4882.61  215
Mg26 	24196.5	0.496695  1  4882.61  220
Na23 	21409.2	0.177115  1  4886.56  241
Na23 	21409.2	0.101838  1  4878.5  222
Al28 	26058.3	0.190062  1  4882.11  212
proton 	938.272	6.87848  1  4882.25  251
Ne20 	18617.7	0.602603  1  4882.25  255
proton 	938.272	5.10582  1  4875.63  212
Mg26 	24196.5	0.191265  1  4875.63  216
Na24 	22341.8	0.196936  1  4879.67  209
proton 	938.272	31.6409  1  4878.32  222
Ne20 	18617.7	0.872254  1  4878.32  229
proton 	938.272	3.47223  1  4879.98  253
Mg25 	23268.0	3.20767  1  4879.98  258
Al28 	26058.3	0.163762  1  4881.79  229
