He3 	2808.39 	15.6471  1  4490.84  549
proton 	938.272 	5.66448  1  4490.84  552
alpha 	3727.38 	13.8725  1  4490.84  554
O16 	14895.1 	0.306652  1  1563.09  3687
Fe56 	52089.8 	0.128923  1  -2844.88  8201
O16 	14895.1 	0.24357  1  812.845  4267
O16 	14895.1 	0.319591  1  -3075.22  8301
Mg26 	24196.5 	0.168036  1  2046.79  3114
O16 	14895.1 	0.805253  1  4051.27  1051
O16 	14895.1 	0.208531  1  4509.84  535
Mg24 	22335.8 	0.174374  1  -919.741  6228
Mg24 	22335.8 	0.125621  1  -2076.7  7540
proton 	938.272 	266.357  1  1614.38  3504
N14 	13040.2 	1.45264  1  1614.38  3508
O16 	14895.1 	0.191087  1  -3376  8772
O16 	14895.1 	0.44743  1  1820.84  3287
Mg24 	22335.8 	0.188281  1  341.775  4886
proton 	938.272 	17.4942  1  4345.35  729
proton 	938.272 	11.1317  1  4345.35  730
proton 	938.272 	5.73079  1  4345.35  732
proton 	938.272 	4.09253  1  4345.35  733
F19 	17692.3 	24.9625  1  4345.35  736
O16 	14895.1 	0.713968  1  1002.53  4097
Mg24 	22335.8 	0.823798  1  -3383.61  8778
proton 	938.272 	507.386  1  -1393.62  6705
proton 	938.272 	67.3092  1  -1393.62  6712
proton 	938.272 	32.4657  1  -1393.62  6713
alpha 	3727.38 	88.7249  1  -1393.62  6733
proton 	938.272 	243.568  1  -1393.62  6737
Mg24 	22335.8 	0.158139  1  -4036.56  9486
Si28 	26053.2 	0.113735  1  -3564.97  9001
proton 	938.272 	3149.1  1  -1465.22  6680
proton 	938.272 	6.64062  1  -1465.22  6684
C12 	11174.9 	3.35477  1  -1465.22  6687
O16 	14895.1 	0.25877  1  193.14  5052
O16 	14895.1 	0.222554  1  3336.19  1657
Mg24 	22335.8 	0.16927  1  -826.262  6032
Si28 	26053.2 	0.672486  1  -1363.26  6805
proton 	938.272 	7118.02  1  -2754.95  8301
proton 	938.272 	23.4783  1  -2754.95  8304
alpha 	3727.38 	7.89971  1  -2754.95  8305
alpha 	3727.38 	0.514827  1  -2754.95  8306
Li6 	5601.52 	11.9269  1  -2754.95  8307
O16 	14895.1 	0.334958  1  -3023.63  8404
proton 	938.272 	16097.1  1  1154.37  4099
proton 	938.272 	4.46763  1  1154.37  4115
C12 	11174.9 	1.97905  1  1154.37  4117
O16 	14895.1 	0.333657  1  -4031.82  9375
O16 	14895.1 	0.261599  1  3504.84  1491
Mg24 	22335.8 	0.189494  1  1572.15  3440
O16 	14895.1 	0.462624  1  -1226.31  6555
proton 	938.272 	17.2897  1  4590.51  435
proton 	938.272 	460.936  1  4590.51  436
proton 	938.272 	141.84  1  4590.51  442
He3 	2808.39 	155.282  1  4590.51  452
proton 	938.272 	28.5452  1  4590.51  454
proton 	938.272 	23.0667  1  4590.51  457
Si28 	26053.2 	0.222507  1  -1951.99  7269
O16 	14895.1 	0.25547  1  3292.41  1746
Mg24 	22335.8 	0.169677  1  -141.849  5365
Mg24 	22335.8 	0.193747  1  -1415.34  6732
proton 	938.272 	13.509  1  1433.46  3843
alpha 	3727.38 	9.60681  1  1433.46  3845
proton 	938.272 	1.26565  1  -3652.73  9122
N14 	13040.2 	0.262246  1  -3652.73  9124
O16 	14895.1 	0.20787  1  -4906.68  10319
proton 	938.272 	40.9348  1  -1397.87  6611
proton 	938.272 	12.1118  1  -1397.87  6612
alpha 	3727.38 	5.23667  1  -1397.87  6615
alpha 	3727.38 	5.78174  1  -1397.87  6616
alpha 	3727.38 	2.92836  1  -1397.87  6617
Mg26 	24196.5 	0.427902  1  -3005.64  8558
proton 	938.272 	1.53631  1  829.451  4371
N13 	12111.2 	0.235911  1  829.451  4373
O16 	14895.1 	2.81061  1  -444.5  5606
O16 	14895.1 	0.223341  1  -112.655  5429
Mg24 	22335.8 	0.15488  1  -2632.89  8077
proton 	938.272 	4503.02  1  -876.272  6145
proton 	938.272 	17.8165  1  -876.272  6160
alpha 	3727.38 	6.0781  1  -876.272  6161
proton 	938.272 	8.23385  1  -876.272  6162
Si28 	26053.2 	0.149723  1  -1379.06  6702
Si28 	26053.2 	0.115478  1  142.939  5041
O16 	14895.1 	0.594625  1  -1056.85  6426
Mg24 	22335.8 	0.185024  1  -3382.23  8843
O16 	14895.1 	0.367553  1  -3899.2  9349
proton 	938.272 	148.2  1  3834.48  1228
alpha 	3727.38 	6.66225  1  3834.48  1234
Be8 	7454.85 	4.29707  1  3834.48  1235
O16 	14895.1 	0.962802  1  2065.3  3067
alpha 	3727.38 	3.7995  1  -4673.52  10166
Ne21 	19550.5 	4.94457  1  -4673.52  10167
proton 	938.272 	3791.41  1  3141.04  1845
proton 	938.272 	86.2522  1  3141.04  1850
proton 	938.272 	16.9039  1  3141.04  1851
proton 	938.272 	5.23913  1  3141.04  1852
proton 	938.272 	3.93016  1  3141.04  1855
alpha 	3727.38 	1.86641  1  3141.04  1857
alpha 	3727.38 	17.9077  1  3141.04  1858
proton 	938.272 	332.684  1  521.235  4550
proton 	938.272 	116.076  1  521.235  4551
Mg26 	24196.5 	0.903357  1  521.235  4554
Mg26 	24196.5 	0.319542  1  -662.037  5924
Mg26 	24196.5 	0.12198  1  -4017.13  9553
proton 	938.272 	3225.59  1  -1699.47  6887
